,Word,Title Frequency
583,lower,3
584,soldiers,3
585,general,3
586,declares,3
587,head,3
588,greatest,3
589,aides,3
590,grand,3
591,metoo,3
592,pick,3
593,influence,3
594,protester,3
595,real,3
596,approves,3
597,kill,3
598,raid,3
599,flag,3
600,tighten,3
601,mistake,3
602,angry,3
603,blows,3
604,trolls,3
605,defuse,3
606,platform,3
607,students,3
608,gas,3
609,spy,3
610,resigns,3
611,frenchman,3
612,cuts,3
613,torture,3
614,hulot,3
615,refuses,3
616,votes,3
617,benalla,3
618,invites,3
619,greece,3
620,bodyguard,3
621,isis,3
622,point,3
623,fine,3
624,madrid,3
625,sun,3
626,spanish,3
627,asylum,3
628,kim,3
629,phone,3
630,rallies,3
631,citizenship,3
632,harassment,3
633,money,3
634,islamic,3
635,accord,3
636,shoulder,3
637,puigdemont,3
638,questions,3
639,remark,3
640,libyan,3
641,funding,3
642,address,3
643,west,3
644,newspapers,3
645,eurozone,3
646,candidacy,3
647,dilemma,3
648,pictures,3
649,rivals,3
650,banks,3
651,magic,3
652,♥,3
653,cost,3
654,class,3
655,reality,3
656,marche,3
657,borders,3
658,jupiter,3
659,lady,3
660,reasons,3
661,hiring,3
662,schulz,3
663,forget,3
664,breach,3
665,soft,3
666,assistants,3
667,nepotism,3
668,pour,3
669,présidentiel,3
670,endorses,3
671,fast,3
672,fear,3
673,campagne,3
674,tour,3
675,percée,3
676,penelope,3
677,attacked,3
678,path,3
679,isil,3
680,affaire,3
681,rival,3
682,momentum,3
683,lagarde,3
684,legion,3
685,droite,3
686,card,3
687,panic,3
688,muslim,3
689,uber,3
690,taxi,3
691,terms,2
692,jewish,2
693,navalny,2
694,india,2
695,cut,2
696,troops,2
697,age,2
698,consent,2
699,citizens,2
700,stands,2
701,raises,2
702,secular,2
703,probes,2
704,dinner,2
705,meetings,2
706,extends,2
707,nationwide,2
708,blind,2
709,sluggish,2
710,astrazeneca,2
711,mulls,2
712,digital,2
713,conviction,2
714,citizen,2
715,pits,2
716,meals,2
717,eurostar,2
718,islamo,2
719,leftist,2
720,assembly,2
721,meant,2
722,ambitions,2
723,sciences,2
724,opponents,2
725,comment,2
726,mckinsey,2
727,gang,2
728,finds,2
729,countries,2
730,relationship,2
731,sales,2
732,lose,2
733,issues,2
734,hopes,2
735,rattle,2
736,rollout,2
737,mind,2
738,gérald,2
739,darmanin,2
740,risky,2
741,semitic,2
742,lunch,2
743,award,2
744,environmental,2
745,combat,2
746,gay,2
747,tank,2
748,hungary,2
749,rule,2
750,pays,2
751,tribute,2
752,season,2
753,tourists,2
754,valéry,2
755,images,2
756,expresses,2
757,journalists,2
758,beats,2
759,friday,2
760,mail,2
761,stresses,2
762,knocks,2
763,biden,2
764,backlash,2
765,wounded,2
766,urge,2
767,diplomatic,2
768,turmoil,2
769,minimum,2
770,deadly,2
771,decries,2
772,inside,2
773,cartoons,2
774,recalls,2
775,killing,2
776,mayors,2
777,requests,2
778,detain,2
779,areas,2
780,initiative,2
