,Word,Title Frequency,Word Frequency
1007,heads,2,75
1008,rentrée,2,3
1009,jeremy,2,34
1010,corbyn,2,38
1011,unemployment,2,190
1012,episode,2,19
1013,makeover,2,1
1014,months,2,552
1015,reveals,2,13
1016,role,2,317
1017,rebel,2,36
1018,korea,2,36
1019,contest,2,80
1020,mirror,2,27
1021,martin,2,69
1022,avoid,2,166
1023,soul,2,24
1024,lashes,2,1
1025,agree,2,120
1026,mano,2,2
1027,tête,2,13
1028,shape,2,36
1029,obstacles,2,29
1030,independence,2,121
1031,dreams,2,13
1032,hamburg,2,19
1033,hangover,2,2
1034,project,2,167
1035,tate,2,0
1036,versailles,2,39
1037,moscovici,2,24
1038,simone,2,11
1039,veil,2,38
1040,seizes,2,0
1041,ethics,2,21
1042,hijack,2,3
1043,step,2,173
1044,judge,2,68
1045,élections,2,4
1046,dorian,2,2
1047,gray,2,10
1048,élysée,2,70
1049,burkinis,2,15
1050,richard,2,58
1051,ferrand,2,137
1052,night,2,250
1053,travail,2,21
1054,fired,2,47
1055,reacted,2,29
1056,reads,2,24
1057,learned,2,29
1058,cyber,2,13
1059,targets,2,41
1060,live,2,156
1061,increases,2,20
1062,reject,2,32
1063,frexit,2,22
1064,headed,2,56
1065,leftists,2,26
1066,chamber,2,32
1067,supporting,2,58
1068,unites,2,4
1069,final,2,218
1070,neck,2,59
1071,decline,2,54
1072,interview,2,418
1073,wartime,2,6
1074,firebrand,2,41
1075,threat,2,160
1076,loves,2,3
1077,hired,2,38
1078,billionaire,2,17
1079,daughters,2,14
1080,unchained,2,0
1081,build,2,149
1082,received,2,146
1083,loan,2,53
1084,husband,2,61
1085,february,2,132
1086,splits,2,3
1087,breitbart,2,40
1088,headscarf,2,32
1089,deepen,2,20
1090,attacker,2,40
1091,payments,2,33
1092,choices,2,44
1093,growing,2,111
1094,mp,2,260
1095,cover,2,62
1096,christine,2,22
1097,tycoon,2,5
1098,candidature,2,5
1099,cazeneuve,2,44
1100,worst,2,72
1101,hope,2,199
1102,air,2,106
1103,knock,2,15
1104,politique,2,21
1105,editor,2,93
1106,dismantle,2,7
1107,lobby,2,32
1108,sms,2,3
1109,exclusion,2,8
1110,closer,2,107
1111,arnaud,2,71
1112,montebourg,2,153
1113,offer,2,111
1114,corsica,2,26
1115,alstom,2,36
1116,avec,2,53
1117,hillary,2,34
1118,woman,2,113
1119,town,2,177
1120,honneur,2,13
1121,behavior,2,74
1122,liar,2,4
1123,july,2,190
1124,sanctions,2,90
1125,loi,2,13
1126,single,2,146
1127,access,2,88
1128,allemand,2,4
1129,fail,2,39
1130,business,2,246
1131,strike,2,175
1132,ibrahimović,2,6
1133,sapin,2,37
1134,rogue,2,3
1135,“,2,0
1136,”,2,0
1137,ça,2,26
1138,mieux,2,8
1139,ttip,2,10
1140,youth,2,77
1141,cartoon,2,15
1142,carousel,2,0
1143,ruined,2,3
1144,scrambles,2,0
1145,strides,1,1
1146,cultural,1,82
1147,napoleon,1,41
1148,memory,1,24
1149,reeling,1,11
1150,kiss,1,8
1151,glut,1,1
1152,struggles,1,29
1153,fallout,1,34
1154,pensioner,1,7
1155,murder,1,54
1156,launched,1,195
1157,fatal,1,11
1158,stabbing,1,4
1159,super,1,60
1160,responsible,1,90
1161,quarantine,1,14
1162,travelers,1,18
1163,slam,1,2
1164,breakaway,1,16
1165,uper,1,0
1166,advises,1,9
1167,temporarily,1,25
1168,bring,1,179
1169,brazil,1,21
1170,flight,1,19
1171,suspension,1,16
1172,vandalism,1,7
1173,concerns,1,148
1174,trumped,1,1
1175,reformist,1,46
1176,luxury,1,22
1177,curbs,1,0
1178,tears,1,15
1179,consultancy,1,16
1180,deals,1,51
1181,rwandan,1,5
1182,genocide,1,14
1183,hospital,1,57
1184,reboot,1,3
1185,oxford,1,11
1186,monthlong,1,1
1187,region,1,280
1188,setting,1,85
1189,zones,1,24
1190,threatened,1,71
1191,withhold,1,6
1192,prevented,1,21
1193,pass,1,78
1194,venues,1,7
1195,till,1,3
1196,convicted,1,40
1197,generation,1,79
1198,identity,1,138
1199,pupils,1,14
1200,banning,1,51
1201,symbols,1,24
1202,sentence,1,41
1203,crushes,1,3
1204,prospects,1,28
1205,rocks,1,6
1206,convention,1,74
1207,flirting,1,2
1208,quarrels,1,5
1209,meatless,1,3
1210,riviera,1,11
1211,weekend,1,158
1212,leftism,1,13
1213,anchor,1,9
1214,patrick,1,55
1215,poivre,1,8
1216,arvor,1,8
1217,scouring,1,3
1218,catch,1,25
1219,fraudsters,1,0
1220,bias,1,1
1221,academia,1,2
1222,extremism,1,31
1223,gathers,1,3
1224,illustrated,1,11
1225,obstacle,1,26
1226,challengers,1,10
1227,spars,1,0
1228,clément,1,22
1229,beaune,1,101
1230,director,1,117
1231,duhamel,1,26
1232,advantage,1,56
1233,cabinets,1,22
1234,conseil,1,32
1235,comme,1,28
1236,ont,1,39
1237,conquis,1,0
1238,consultants,1,35
1239,expulsion,1,14
1240,diplomats,1,61
1241,china,1,127
1242,dissatisfaction,1,9
1243,rise,1,161
1244,admires,1,1
1245,warp,1,1
1246,quasi,1,13
1247,ineffective,1,7
1248,older,1,32
1249,hamper,1,2
1250,dog,1,7
1251,pet,1,8
1252,stores,1,20
1253,sufficient,1,21
1254,apologize,1,9
1255,algeria,1,21
1256,colonization,1,13
1257,benefits,1,81
1258,invisible,1,13
1259,hurt,1,35
1260,charter,1,33
1261,imams,1,22
1262,piercing,1,0
1263,wrinkles,1,2
1264,ruckus,1,3
1265,procurement,1,17
1266,incest,1,5
1267,scientist,1,32
1268,establishment,1,143
1269,consultancies,1,29
1270,vaccination,1,69
1271,poses,1,35
1272,busting,1,4
1273,rave,1,2
1274,quiz,1,0
1275,condemned,1,45
1276,angers,1,5
1277,tweets,1,40
1278,targeting,1,36
1279,contestant,1,1
1280,prompts,1,3
1281,dishonorable,1,1
1282,italians,1,15
1283,egypt,1,11
1284,radicalism,1,19
1285,niece,1,60
1286,authoritarian,1,26
1287,vetoing,1,0
1288,visionary,1,8
1289,intelligence,1,115
1290,inspect,1,5
1291,mosques,1,23
1292,suspicion,1,37
1293,eparatism,1,0
1294,alpine,1,1
1295,ski,1,18
1296,resorts,1,4
1297,dread,1,2
1298,backtrack,1,3
1299,thousands,1,137
1300,hame,1,0
1301,rewrite,1,13
1302,eases,1,1
1303,dismantling,1,14
1304,feeds,1,7
1305,footage,1,52
1306,postpone,1,15
1307,rectify,1,2
1308,blatant,1,4
1309,treatment,1,39
1310,tanker,1,2
1311,depends,1,13
1312,guarantee,1,46
1313,crackdown,1,22
1314,filming,1,8
1315,ballots,1,30
1316,lax,1,7
1317,learn,1,34
1318,delay,1,41
1319,imam,1,8
1320,feasible,1,2
1321,rector,1,2
1322,experiment,1,17
1323,muddled,1,4
1324,messaging,1,15
1325,fuels,1,7
1326,contradicts,1,3
1327,dissolve,1,10
1328,turkish,1,83
1329,ultranationalist,1,5
1330,priest,1,17
1331,shooting,1,20
1332,lyon,1,77
1333,deployment,1,13
1334,surveillance,1,18
1335,technology,1,50
1336,series,1,173
1337,beefs,1,0
1338,posts,1,50
1339,abroad,1,74
1340,oecd,1,7
1341,contenders,1,36
1342,standing,1,105
1343,leaves,1,53
1344,caricature,1,9
1345,backfire,1,6
1346,tension,1,34
1347,turf,1,8
1348,wars,1,30
1349,burnouts,1,2
1350,mongering,1,3
1351,turks,1,6
1352,boycott,1,16
1353,goods,1,31
1354,liner,1,4
1355,darkens,1,0
1356,shadow,1,31
1357,teachers,1,62
1358,swimming,1,15
1359,pools,1,9
1360,complaint,1,36
1361,aisles,1,6
1362,closure,1,15
1363,denounced,1,36
1364,murdered,1,11
1365,urban,1,54
1366,jack,1,8
1367,lang,1,30
1368,epstein,1,28
1369,donation,1,9
1370,fund,1,117
1371,movie,1,17
1372,crewed,1,0
1373,tested,1,41
1374,baltic,1,11
1375,reckons,1,2
1376,limits,1,50
1377,confesses,1,2
1378,stronger,1,80
1379,multilateralism,1,6
1380,advice,1,45
1381,cheap,1,14
1382,cooks,1,0
1383,storm,1,26
1384,hundreds,1,85
1385,monkey,1,5
1386,prospect,1,52
1387,despair,1,10
1388,dignity,1,15
1389,lebanese,1,48
1390,commitment,1,58
1391,calendar,1,8
1392,bet,1,31
1393,magazine,1,97
1394,depicting,1,10
1395,slave,1,8
1396,dodges,1,0
1397,retaliatory,1,2
1398,fort,1,21
1399,brégançon,1,11
1400,youngest,1,27
1401,transform,1,24
1402,ramp,1,11
1403,presence,1,65
1404,mediterranean,1,47
1405,mask,1,26
1406,heatwave,1,1
1407,language,1,90
1408,carrot,1,3
1409,delivers,1,28
1410,stern,1,13
1411,message,1,205
1412,stricken,1,2
1413,quarter,1,53
1414,avoided,1,43
1415,feminists,1,9
1416,attractivenes,1,0
1417,title,1,57
1418,ridicule,1,12
1419,place,1,471
1420,castex,1,98
1421,picking,1,20
1422,profile,1,121
1423,bets,1,7
1424,greater,1,129
1425,involvement,1,32
