,Word,Title Frequency,Word Frequency,,Class
365,lgbt,4,18,1699,
366,authorities,4,245,253,
367,zone,4,50,1086,
368,public,4,1071,32,
369,pari,4,66,902,
370,defends,4,5,2299,
371,inquiry,4,25,1494,
372,rape,4,50,1086,
373,abuse,4,58,973,
374,speed,4,70,862,
375,drive,4,63,929,
376,curfew,4,25,1494,4
377,book,4,224,290,
378,michel,4,166,403,1
379,comeback,4,37,1247,
380,investigated,4,27,1449,
381,rejects,4,16,1759,
382,criticism,4,213,303,
383,break,4,131,503,
384,christmas,4,52,1060,
385,referendum,4,241,260,4
386,turkey,4,131,503,2
387,lessons,4,39,1214,
388,estaing,4,54,1023,
389,holiday,4,43,1156,
390,rights,4,216,299,
391,muslims,4,148,453,4
392,years,4,976,36,
393,american,4,177,381,
394,regional,4,245,253,
395,killed,4,122,539,
396,hebdo,4,46,1131,
397,diplomacy,4,43,1156,4
398,terrorism,4,235,273,4
399,strasbourg,4,97,644,
400,libya,4,74,817,2
401,racism,4,58,973,
402,comments,4,185,364,
403,challenge,4,182,371,
404,measures,4,312,190,
405,deputy,4,127,517,
406,eastern,4,132,497,
407,offers,4,33,1315,
408,percent,4,1614,16,
409,names,4,43,1156,
410,reshuffle,4,49,1098,
411,resign,4,55,1012,
412,queen,4,18,1699,
413,clashes,4,32,1335,
414,care,4,136,490,
415,resignation,4,102,626,
416,sexual,4,100,632,
417,revolt,4,39,1214,
418,electoral,4,159,427,
419,charges,4,94,664,
420,asks,4,11,1946,
421,nato,4,236,270,
422,centrist,4,366,147,
423,formal,4,126,524,
424,admits,4,9,2050,
425,financing,4,67,893,
426,iran,4,130,506,
427,king,4,63,929,
428,laurent,4,102,626,
429,ditch,4,13,1872,
430,unveils,4,1,2664,
431,boy,4,26,1475,
432,risk,4,235,273,
433,decision,4,431,120,
434,cash,4,47,1120,
435,love,4,74,817,
436,immunity,4,31,1360,
437,letter,4,132,497,
438,drops,4,11,1946,
439,speech,4,458,110,
440,stars,4,34,1293,
441,illegal,4,96,653,
442,juncker,4,109,599,
443,riots,4,44,1144,
444,nazi,4,41,1181,
445,remain,4,265,230,
446,threatens,4,16,1759,
447,joins,4,10,2001,
448,dream,4,32,1335,
449,nightmare,4,11,1946,
450,belgium,4,103,620,
451,high,4,470,107,
452,maréchal,4,119,554,
453,key,4,186,361,
454,elected,4,353,154,
455,record,4,192,347,
456,hell,4,12,1911,
457,renzi,4,53,1042,
458,steve,4,40,1194,
459,close,4,387,138,
460,bruno,4,173,392,
461,british,4,466,108,
462,january,4,313,187,
463,journalist,4,103,620,
464,rules,4,271,224,
465,december,4,299,202,
466,launch,4,88,702,
467,family,4,186,361,
468,turnout,4,115,574,
469,vladimir,4,113,579,
470,hamon,4,300,200,
471,louvre,4,32,1335,
472,hacking,4,28,1424,
473,revolution,4,57,987,
474,clinton,4,52,1060,
475,decide,3,97,644,
476,football,3,94,664,
477,pushes,3,8,2109,
478,ukraine,3,74,817,
479,tougher,3,51,1074,
480,travel,3,83,739,
481,mosque,3,40,1194,
482,schools,3,92,675,
483,culture,3,127,517,
484,add,3,43,1156,
485,protection,3,68,882,
486,constitution,3,102,626,
487,oppose,3,47,1120,
488,religious,3,113,579,
489,jail,3,30,1379,
490,strategy,3,194,342,
491,meps,3,137,485,
492,save,3,75,809,
493,called,3,816,45,
494,adopts,3,2,2541,
495,islamist,3,76,799,
496,unfair,3,36,1258,
497,trust,3,75,809,
498,condemn,3,23,1536,
499,rescue,3,29,1397,
500,cat,3,8,2109,
501,slow,3,49,1098,
502,children,3,165,408,
503,read,3,109,599,
504,controversy,3,86,713,
505,friend,3,86,713,
506,politico,3,527,94,
507,members,3,535,91,
508,gamble,3,9,2050,
509,portugal,3,33,1315,
510,costa,3,33,1315,
511,isolate,3,10,2001,
512,beating,3,47,1120,
513,black,3,74,817,
514,arms,3,49,1098,
515,surprise,3,84,728,
516,demands,3,80,760,
517,lie,3,28,1424,
518,longer,3,245,253,
519,hate,3,52,1060,
520,split,3,78,778,
521,team,3,200,329,
522,wage,3,82,747,
523,food,3,56,1002,
524,critics,3,124,531,
525,teacher,3,79,769,
526,opening,3,66,902,
527,beheading,3,16,1759,
528,connection,3,22,1561,
529,search,3,32,1335,
530,spread,3,89,694,
531,politician,3,185,364,
532,dialogue,3,92,675,
533,suspect,3,50,1086,
534,injured,3,54,1023,
535,approach,3,207,315,
536,twitter,3,263,234,
537,castaner,3,127,517,
538,rebels,3,29,1397,
539,women,3,225,289,
540,office,3,536,89,
541,monday,3,552,84,
542,term,3,437,116,
543,greens,3,109,599,
544,stumbles,3,3,2442,
545,major,3,392,134,
546,cities,3,147,457,
547,signals,3,16,1759,
548,woes,3,17,1729,
549,worker,3,59,962,
550,tackle,3,56,1002,
551,north,3,164,412,
552,africa,3,68,882,
553,parallel,3,34,1293,
554,edouard,3,119,554,
555,fate,3,52,1060,
556,puts,3,40,1194,
557,plots,3,3,2442,
558,exit,3,77,789,
559,financial,3,323,174,
560,lives,3,68,882,
561,nuclear,3,121,545,
562,plays,3,16,1759,
563,shirt,3,20,1644,
564,guide,3,29,1397,
565,charlemagne,3,8,2109,
566,sylvie,3,44,1144,
567,domestic,3,164,412,
568,failure,3,86,713,
569,official,3,683,58,
570,anger,3,112,583,
571,sees,3,84,728,
572,jacques,3,143,468,
573,chirac,3,161,417,
574,beautiful,3,35,1278,
575,united,3,393,133,
576,wauquiez,3,127,517,
577,appeal,3,120,551,
578,young,3,304,193,
579,orbán,3,55,1012,
580,brace,3,2,2541,
581,parties,3,453,112,
582,campaigns,3,86,713,
583,lower,3,177,381,
584,soldiers,3,44,1144,
585,general,3,324,173,
586,declares,3,3,2442,
587,head,3,428,121,
588,greatest,3,29,1397,
589,aides,3,164,412,
590,grand,3,112,583,
591,metoo,3,15,1794,
592,pick,3,73,831,
593,influence,3,156,432,
594,protester,3,39,1214,
595,real,3,303,194,
596,approves,3,0,2815,
597,kill,3,31,1360,
598,raid,3,23,1536,
599,flag,3,40,1194,
600,tighten,3,8,2109,
601,mistake,3,60,954,
602,angry,3,51,1074,
603,blows,3,12,1911,
604,trolls,3,6,2234,
605,defuse,3,9,2050,
606,platform,3,261,237,
607,students,3,124,531,
608,gas,3,94,664,
609,spy,3,28,1424,
610,resigns,3,5,2299,
611,frenchman,3,18,1699,
612,cuts,3,101,630,
613,torture,3,7,2174,
614,hulot,3,72,840,
615,refuses,3,23,1536,
616,votes,3,249,247,
617,benalla,3,107,605,
618,invites,3,5,2299,
619,greece,3,66,902,
620,bodyguard,3,21,1602,
621,isis,3,28,1424,
622,point,3,383,142,
623,fine,3,65,912,
624,madrid,3,50,1086,
625,sun,3,34,1293,
626,spanish,3,119,554,
627,asylum,3,112,583,
628,kim,3,11,1946,
629,phone,3,70,862,
630,rallies,3,56,1002,
631,citizenship,3,55,1012,
632,harassment,3,64,919,
633,money,3,229,282,
634,islamic,3,124,531,
635,accord,3,38,1230,
636,shoulder,3,24,1515,
637,puigdemont,3,47,1120,
638,questions,3,196,338,
639,remark,3,14,1834,
640,libyan,3,34,1293,
641,funding,3,82,747,
642,address,3,193,344,
643,west,3,85,720,
644,newspapers,3,48,1112,
645,eurozone,3,321,179,
646,candidacy,3,119,554,
647,dilemma,3,20,1644,
648,pictures,3,39,1214,
649,rivals,3,194,342,
650,banks,3,88,702,
651,magic,3,5,2299,
652,♥,3,0,2815,
653,cost,3,117,565,
654,class,3,164,412,
655,reality,3,85,720,
656,marche,3,443,114,
657,borders,3,116,570,
658,jupiter,3,25,1494,
659,lady,3,33,1315,
660,reasons,3,111,589,
661,hiring,3,84,728,
662,schulz,3,81,753,
663,forget,3,38,1230,
664,breach,3,25,1494,
665,soft,3,27,1449,
666,assistants,3,83,739,
667,nepotism,3,23,1536,
668,pour,3,124,531,
